23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
penalty player - Ashton McLean3 on 5,43:44,
,45:25,penalty player - Ilya Tonkonogov4 on 4
"Uldis Kalndruva - 4:0 PP(neat pass Ashton McLean, Vitolds Vītoliņš)",46:22,
,47:01,penalty player - Atis Zilgalvis4 on 5
penalty player - Niks Ķirsis4 on 5,55:40,
04.07 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],0:3,['match_id=897232416'],BorKhan,['team_id=59077']
Tactical points offense 5 defense 5,00:00,
penalty player - Vladimirs Znotiņš4 on 5,04:01,
,11:02,penalty player - Velika Zimić4 on 5
,16:03,penalty player - Viktor Hrnka4 on 5
Tactical points offense 5 defense 5,20:00,
penalty player - Francis Taukulis4 on 5,21:57,
penalty player - Edmunds Bambergs3 on 5,23:14,
,27:42,Čistomil Orendáč - 0:1 Short passes(poor pass Josif Ružnić)
,35:16,penalty player - Mersudin Kopić4 on 5
,39:28,"Brock Bayley - 0:2 Pressing(genius pass , )"
Pulling the goalie,40:00,
Tactical points offense 5 defense 5,40:00,
,42:01,penalty player - Brock Bayley4 on 5
,49:15,Matěj Koníček - 0:3 Short passes(Čistomil Orendáč)
,49:57,penalty player - 4 on 5
,50:45,penalty player - Brock Bayley3 on 5
05.07 - 21:00,League 7.round,HC Jelgava Stars,['team_id=42152'],3:2 sh,['match_id=897112294'],vairogs,['team_id=7709']
Tactical points offense 5 defense 5,00:00,
penalty player - Folmer Toft4 on 5,06:42,
,15:56,"Alvis Starkovs - 0:1 Behind the net(genius pass Maurícius Valig, Siebe  Marye)"
Pulling the goalie,16:10,
Aggressiveness +1,20:00,
Tactical points offense 5 defense 5,20:00,
penalty player - Juris Norītis4 on 5,20:57,
Alberts Timanovskis - 1:1 Counter-attacks(perfect pass Dzidris Skrastiņš),28:40,
penalty player - Francis Taukulis4 on 5,37:01,
Aggressiveness +1,40:00,
Tactical points offense 5 defense 5,40:00,
penalty player - Folmer Toft4 on 5,45:56,
,49:58,penalty player - Rūdis Vamzis4 on 5
Dennis Ivarsson - 2:1 PP(genius pass Mário Iván),51:37,
penalty player - Dzidris Skrastiņš4 on 5,54:28,
,54:53,penalty player - Arnolds Zālmanis4 on 4
,55:33,Rene Salas - 2:2 (genius pass Grgo Đipalo)
,59:18,penalty player - Atis Zibens4 on 5
Tactical points offense 5 defense 5,60:00,
,64:46,penalty player - Valērijs Krimulds4 on 5
Cyrille Boulanger - 3:2 ,66:10,
