Next season!,0

Edgars Miķelsons,24,291,56,42,34,3.9,-9,4
Atis Zilgalvis,23,306,84,48,38,4.2,11,0
Bohuslav Kotrba,30,347,134,11,37,5.3,23,1
Francis Taukulis,22,260,57,44,38,5.2,7,0
Jurģis Nagrebis,22,249,52,44,32,4.4,6,6
Ilya Tonkonogov,27,373,117,23,37,4.8,18,5
Juris Norītis,21,230,41,43,36,4.6,16,3
Kaspars Dinsberģis,18,143,30,61,17,5.0,0,1
Vasile Halip,29,389,141,16,38,5.1,22,0
Maigonis Ušackis,25,326,122,25,34,4.4,9,6
Leroy Sizemore,27,333,59,19,35,5.0,2,2
Joshua Adams,27,358,104,23,37,4.6,23,2
Folmer Toft,27,311,165,0,5,3.9,-2,0
Staņislavs Bullītis,22,240,57,45,33,4.5,-7,0
Uvis Vakseris,22,239,41,47,2,2.7,-5,0
Mário Iván,28,337,139,16,38,3.9,16,0
Andris Kraulis,19,167,21,60,0,0.0,0,5
Edmunds Bambergs,19,164,26,57,9,3.8,-2,4
Petr Pozhnikov,26,345,101,25,38,4.0,5,0
Osvalds Jākabsons,18,128,25,62,0,0.0,0,0
Cyrille Boulanger,28,358,71,20,11,4.6,3,0
Wiktor Juszko,23,281,70,41,4,4.5,0,11
Dennis Ivarsson,27,339,140,19,38,5.6,18,1
Dzidris Skrastiņš,22,254,46,43,34,3.8,-10,0
Alberts Timanovskis,22,245,45,47,36,3.8,-14,0
Niks Silmacis,20,190,37,45,0,0.0,0,0
Next season!,13

Vladimirs Znotiņš,23,294,57,47,26,3.9,-5,0
Ernests Beļavskis,27,360,189,21,26,5.3,5,0
Edgars Miķelsons,25,310,68,28,36,4.2,-4,2
Atis Zilgalvis,24,328,100,33,38,4.2,-14,0
Bohuslav Kotrba,31,353,146,8,36,6.3,15,3
Francis Taukulis,23,289,68,42,31,3.9,4,1
Jurģis Nagrebis,23,280,62,45,21,4.0,-12,3
Ilya Tonkonogov,28,388,134,21,37,4.0,-6,0
Juris Norītis,22,261,54,45,38,4.1,-15,0
Karl LoBianco,30,350,101,11,11,3.3,-4,0
Kaspars Dinsberģis,19,187,45,65,35,4.4,0,2
Vasile Halip,30,396,154,12,36,4.4,-10,2
Maigonis Ušackis,26,341,135,21,37,4.1,0,2
Leroy Sizemore,28,342,70,14,32,4.3,10,9
Joshua Adams,28,373,120,20,37,4.8,2,0
Folmer Toft,28,337,188,19,37,4.2,15,6
Edvards Feldmanis,17,76,13,56,1,3.5,-1,0
Staņislavs Bullītis,23,272,66,45,21,4.4,-2,0
Mārcis Lapsiņš,17,87,11,55,0,0.0,0,0
Uvis Vakseris,23,294,57,45,16,4.9,-1,0
Mário Iván,29,345,152,13,36,4.4,7,0
Andris Kraulis,20,198,25,45,1,3.8,0,0
Edmunds Bambergs,20,196,34,45,10,3.7,-6,0
Petr Pozhnikov,27,360,118,21,38,4.0,5,0
Osvalds Jākabsons,19,167,30,60,2,3.2,-3,0
Cyrille Boulanger,29,383,88,19,34,4.1,4,0
Wiktor Juszko,24,302,82,32,29,4.5,0,0
Dennis Ivarsson,28,351,152,16,36,4.6,19,0
Dzidris Skrastiņš,23,284,58,43,38,3.9,-6,0
Alberts Timanovskis,23,277,56,46,37,4.4,-6,3
Niks Silmacis,21,221,42,45,1,3.5,-1,0
